City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
579,Sumbe,AO,-11.2061,13.8437,80.92,68,30,7.85,scattered clouds
580,Simpang,ID,-1.2667,104.0833,76.75,89,100,3.0,overcast clouds
581,Kormilovka,RU,55.0026,74.1028,73.15,48,8,7.83,clear sky
582,Magadan,RU,59.5667,150.8,36.05,98,100,3.83,light rain
583,Welkom,ZA,-27.9864,26.7066,58.35,31,1,6.96,clear sky
584,Mandera,KE,3.9366,41.867,86.14,44,42,9.26,scattered clouds
585,Bud,US,39.447,-86.1758,55.06,68,100,12.64,overcast clouds
586,Porto Velho,BR,-8.7619,-63.9039,87.85,62,20,5.75,few clouds
587,Bulawayo,ZW,-20.15,28.5833,63.12,23,0,4.54,clear sky
588,Valdivia,CL,-39.8142,-73.2459,46.49,71,100,3.15,overcast clouds
589,Tamiahua,MX,21.2667,-97.45,87.3,63,32,8.68,scattered clouds
590,Beringovskiy,RU,63.05,179.3167,27.43,90,26,9.04,scattered clouds
591,Bijie,CN,27.3125,105.2942,60.3,94,99,2.39,overcast clouds
592,Alamor,EC,-4.0181,-80.0197,60.04,73,59,4.7,broken clouds
593,Maroantsetra,MG,-15.4333,49.7333,74.21,82,21,2.95,few clouds
594,Jesus Carranza,MX,17.4333,-95.0333,89.98,55,21,8.7,few clouds
595,Mwinilunga,ZM,-11.7358,24.4293,63.77,38,3,5.17,clear sky
596,Muisne,EC,0.6,-80.0333,82.51,81,100,7.4,overcast clouds
597,Leh,IN,34.1667,77.5833,54.72,22,23,5.61,few clouds
598,Sisak,HR,45.4661,16.3783,60.78,71,100,12.3,light rain
599,Marsa Matruh,EG,31.3525,27.2453,75.4,69,0,11.5,clear sky
600,Port Hardy,CA,50.6996,-127.4199,48.38,81,40,5.75,scattered clouds
601,Karasjok,NO,69.4719,25.5112,44.71,61,95,10.6,overcast clouds
602,Valparaiso,CL,-33.0393,-71.6273,66.43,63,0,13.8,clear sky
603,Ibra,OM,22.6906,58.5334,91.92,31,28,12.88,scattered clouds
604,Borazjan,IR,29.2666,51.2159,92.53,12,0,3.69,clear sky
605,Porbandar,IN,21.6422,69.6093,83.75,79,95,12.91,overcast clouds
606,Vila,PT,42.0304,-8.1588,75.74,54,5,6.62,clear sky
607,Havelock,US,34.8791,-76.9013,88.99,78,75,10.0,broken clouds
608,Tautira,PF,-17.7333,-149.15,75.0,73,75,11.34,light rain
609,Durango,MX,24.8333,-104.8333,77.88,17,3,4.61,clear sky
610,Zlin,CZ,49.2267,17.6663,61.97,77,61,6.58,broken clouds
611,Lovington,US,32.944,-103.3485,71.04,64,16,5.01,few clouds
612,Xining,CN,36.6167,101.7667,55.63,54,54,4.12,broken clouds
613,Dayton,US,39.7589,-84.1916,50.99,81,90,1.01,overcast clouds
614,Imeni Poliny Osipenko,RU,52.4201,136.4853,48.42,83,100,9.35,overcast clouds
615,Fort-Shevchenko,KZ,44.5086,50.263,73.17,62,14,8.1,few clouds
616,Norden,DE,53.6,7.2,58.95,65,14,5.99,few clouds
617,Szigetvar,HU,46.0486,17.8055,65.35,62,79,10.54,broken clouds
618,Cap Malheureux,MU,-19.9842,57.6142,75.69,83,13,5.01,few clouds
619,Hambantota,LK,6.1241,81.1185,82.74,83,20,20.56,few clouds
620,Teguldet,RU,57.3064,88.1667,37.26,59,44,2.93,scattered clouds
621,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,88.68,59,49,3.15,scattered clouds
622,Svetlogorsk,BY,52.6333,29.7333,59.45,84,52,9.31,light rain
623,Haapiti,PF,-17.5667,-149.8667,74.71,73,68,10.47,broken clouds
624,Komsomolskiy,UZ,40.4272,71.7189,83.62,21,100,32.21,overcast clouds
625,Spasskoye,RU,44.6108,132.7969,50.22,81,92,3.8,overcast clouds
626,Puerto Madero,MX,14.7208,-92.4215,82.6,83,75,3.44,broken clouds
627,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,75,13.8,broken clouds
628,Sirajganj,BD,24.45,89.7167,87.33,71,17,11.65,few clouds
629,Novikovo,RU,51.1537,37.8879,68.2,84,87,3.51,overcast clouds
630,Saratoga Springs,US,43.0831,-73.7846,51.21,88,100,1.01,moderate rain
631,North Myrtle Beach,US,33.816,-78.68,87.1,69,1,1.99,clear sky
632,Kholm-Zhirkovskiy,RU,55.5189,33.4731,54.61,89,100,8.14,light rain
633,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,39,0,17.27,clear sky
634,Nyurba,RU,63.2842,118.3319,52.41,55,12,2.59,few clouds
635,Wau,SS,7.7029,27.9953,90.12,37,69,3.31,broken clouds
